header,name,epochtime,count_ns_mixture,count_ns_random,count_ns_primer_dropout,mix_parent1,mix_parent2
>60:19-01-2021:0,60,1611014400,0,50,452,,
>61:07-02-2021:0,61,1612656000,0,50,515,,
>62:07-05-2021:0,62,1620342000,0,50,512,,
>63:05-06-2021:0,63,1622847600,0,50,501,,
>64:07-06-2020:0,64,1591484400,0,50,578,,
>65:23-04-2021:0,65,1619132400,0,50,557,,
>66:07-06-2021:0,66,1623020400,0,50,479,,
>67:15-04-2021:0,67,1618441200,0,50,543,,
>68:04-06-2020:0,68,1591225200,0,50,382,,
>69:07-10-2020:0,69,1602025200,0,50,509,,
>70:01-10-2020:0,70,1601506800,0,50,486,,
>71:06-10-2020:0,71,1601938800,0,50,532,,
>72:20-10-2020:0,72,1603148400,0,50,513,,
>73:25-06-2021:0,73,1624575600,0,50,483,,
>74:18-03-2021:0,74,1616025600,0,50,489,,
>75:04-07-2020:0,75,1593817200,0,50,528,,
>76:05-01-2021:0,76,1609804800,0,50,542,,
>77:02-07-2021:0,77,1625180400,0,50,533,,
>78:19-11-2020:0,78,1605744000,0,50,478,,
>79:04-04-2021:0,79,1617490800,0,50,519,,
>80:10-12-2020:0,80,1607558400,0,50,532,,
>81:09-06-2020:0,81,1591657200,0,50,499,,
>82:24-12-2020:0,82,1608768000,0,50,513,,
>83:04-09-2020:0,83,1599174000,0,50,544,,
>84:21-09-2020:0,84,1600642800,0,50,442,,
>85:06-12-2020:0,85,1607212800,0,50,493,,
>86:24-03-2021:0,86,1616544000,0,50,490,,
>87:06-06-2021:0,87,1622934000,0,50,495,,
>88:21-06-2020:0,88,1592694000,0,50,512,,
>89:29-08-2020:0,89,1598655600,0,50,491,,
>90:23-03-2021:0,90,1616457600,0,50,545,,
>91:21-02-2021:0,91,1613865600,0,50,504,,
>92:05-03-2021:0,92,1614902400,0,50,522,,
>93:03-05-2021:0,93,1619996400,0,50,498,,
>94:25-07-2020:0,94,1595631600,0,50,544,,
>95:05-06-2021:0,95,1622847600,0,50,363,,
>96:14-05-2021:0,96,1620946800,0,50,410,,
>97:13-07-2020:0,97,1594594800,0,50,534,,
>98:23-03-2021:0,98,1616457600,0,50,507,,
>99:21-03-2021:0,99,1616284800,0,50,394,,
>100:06-05-2021:0,100,1620255600,0,50,440,,
>101:21-05-2021:0,101,1621551600,0,50,513,,
>102:30-11-2020:0,102,1606694400,0,50,497,,
>103:22-06-2021:0,103,1624316400,0,50,432,,
>104:16-08-2020:0,104,1597532400,0,50,527,,
>105:24-10-2020:0,105,1603494000,0,50,506,,
>106:16-11-2020:0,106,1605484800,0,50,480,,
>107:08-08-2020:0,107,1596841200,0,50,466,,
>108:24-09-2020:0,108,1600902000,0,50,475,,
>109:11-06-2021:0,109,1623366000,0,50,494,,
>110:24-03-2021:0,110,1616544000,0,50,514,,
>111:13-12-2020:0,111,1607817600,0,50,398,,
>112:18-04-2021:0,112,1618700400,0,50,536,,
>113:13-11-2020:0,113,1605225600,0,50,477,,
>114:24-10-2020:0,114,1603494000,0,50,552,,
>115:05-05-2020:0,115,1588633200,0,50,472,,
>116:20-01-2021:0,116,1611100800,0,50,451,,
>117:19-01-2021:0,117,1611014400,0,50,501,,
>118:25-04-2021:0,118,1619305200,0,50,462,,
>119:05-10-2020:0,119,1601852400,0,50,449,,
>120:10-12-2020:0,120,1607558400,0,50,502,,
>121:28-05-2020:0,121,1590620400,0,50,549,,
>122:12-11-2020:0,122,1605139200,0,50,493,,
>123:04-09-2020:0,123,1599174000,0,50,522,,
>124:24-08-2020:0,124,1598223600,0,50,472,,
>125:06-03-2021:0,125,1614988800,0,50,520,,
>126:24-04-2021:0,126,1619218800,0,50,484,,
>127:10-06-2021:0,127,1623279600,0,50,541,,
>128:25-04-2021:0,128,1619305200,0,50,510,,
>129:23-11-2020:0,129,1606089600,0,50,519,,
>130:27-10-2020:0,130,1603756800,0,50,469,,
>131:19-03-2021:0,131,1616112000,0,50,469,,
>132:21-06-2021:0,132,1624230000,0,50,454,,
>133:23-04-2021:0,133,1619132400,0,50,480,,
>134:31-01-2021:0,134,1612051200,0,50,541,,
>135:29-08-2020:0,135,1598655600,0,50,546,,
>136:29-04-2021:0,136,1619650800,0,50,509,,
>137:14-09-2020:0,137,1600038000,0,50,531,,
>138:03-11-2020:0,138,1604361600,0,50,515,,
>139:13-03-2021:0,139,1615593600,0,50,548,,
>140:10-07-2020:0,140,1594335600,0,50,529,,
>141:24-05-2021:0,141,1621810800,0,50,431,,
>142:19-11-2020:0,142,1605744000,0,50,512,,
>143:16-09-2020:0,143,1600210800,0,50,478,,
>144:01-10-2020:0,144,1601506800,0,50,543,,
>145:05-04-2021:0,145,1617577200,0,50,517,,
>146:06-09-2020:0,146,1599346800,0,50,503,,
>147:13-07-2020:0,147,1594594800,0,50,520,,
>148:25-02-2021:0,148,1614211200,0,50,507,,
>149:06-03-2020:0,149,1583452800,0,50,499,,
>150:22-10-2020:0,150,1603321200,0,50,523,,
>151:24-06-2021:0,151,1624489200,0,50,473,,
>152:09-02-2021:0,152,1612828800,0,50,510,,
>153:01-08-2020:0,153,1596236400,0,50,530,,
>154:13-06-2021:0,154,1623538800,0,50,463,,
>155:20-04-2021:0,155,1618873200,0,50,518,,
>156:06-05-2021:0,156,1620255600,0,50,498,,
>157:27-06-2020:0,157,1593212400,0,50,512,,
>158:16-06-2021:0,158,1623798000,0,50,493,,
>159:27-10-2020:0,159,1603756800,0,50,522,,
>160:18-01-2021:0,160,1610928000,0,50,534,,
>161:16-10-2020:0,161,1602802800,0,50,493,,
>162:30-05-2021:0,162,1622329200,0,50,482,,
>163:30-10-2020:0,163,1604016000,0,50,417,,
>164:19-03-2021:0,164,1616112000,0,50,529,,
>165:01-07-2021:0,165,1625094000,0,50,572,,
>166:04-06-2020:0,166,1591225200,0,50,519,,
>167:16-06-2021:0,167,1623798000,0,50,469,,
>168:13-05-2021:0,168,1620860400,0,50,509,,
>169:13-06-2020:0,169,1592002800,0,50,388,,
>170:30-11-2020:0,170,1606694400,0,50,457,,
>171:11-05-2020:0,171,1589151600,0,50,552,,
>172:19-12-2020:0,172,1608336000,0,50,503,,
>173:04-03-2020:0,173,1583280000,0,50,387,,
>174:28-04-2020:0,174,1588028400,0,50,518,,
>175:17-03-2021:0,175,1615939200,0,50,489,,
>176:28-05-2020:0,176,1590620400,0,50,585,,
>177:15-02-2021:0,177,1613347200,0,50,499,,
>178:04-07-2020:0,178,1593817200,0,50,399,,
>179:07-02-2021:0,179,1612656000,0,50,486,,
>180:05-11-2020:0,180,1604534400,0,50,456,,
>181:11-02-2021:0,181,1613001600,0,50,527,,
>182:18-01-2021:0,182,1610928000,0,50,347,,
>183:25-08-2020:0,183,1598310000,0,50,512,,
>184:19-04-2020:0,184,1587250800,0,50,515,,
>185:12-07-2020:0,185,1594508400,0,50,521,,
>186:10-07-2020:0,186,1594335600,0,50,509,,
>187:08-10-2020:0,187,1602111600,0,50,443,,
>188:18-12-2020:0,188,1608249600,0,50,503,,
>189:19-08-2020:0,189,1597791600,0,50,484,,
>190:07-05-2020:0,190,1588806000,0,50,517,,
>191:01-01-2021:0,191,1609459200,0,50,488,,
>192:17-03-2021:0,192,1615939200,0,50,447,,
>193:10-09-2020:0,193,1599692400,0,50,504,,
>194:12-06-2020:0,194,1591916400,0,50,498,,
>195:19-06-2021:0,195,1624057200,0,50,567,,
>196:16-09-2020:0,196,1600210800,0,50,513,,
>197:16-11-2020:0,197,1605484800,0,50,550,,
>198:27-08-2020:0,198,1598482800,0,50,522,,
>199:26-06-2020:0,199,1593126000,0,50,535,,
>200:04-02-2021:0,200,1612396800,0,50,492,,
>201:03-12-2020:0,201,1606953600,0,50,506,,
>202:17-11-2020:0,202,1605571200,0,50,519,,
>203:26-03-2021:0,203,1616716800,0,50,486,,
>204:04-01-2021:0,204,1609718400,0,50,517,,
>205:27-09-2020:0,205,1601161200,0,50,448,,
>206:06-04-2021:0,206,1617663600,0,50,535,,
>207:31-08-2020:0,207,1598828400,0,50,549,,
>208:06-06-2021:0,208,1622934000,0,50,477,,
>209:15-09-2020:0,209,1600124400,0,50,457,,
>210:03-01-2021:0,210,1609632000,0,50,373,,
>211:12-05-2021:0,211,1620774000,0,50,574,,
>212:15-05-2020:0,212,1589497200,0,50,520,,
>213:10-02-2021:0,213,1612915200,0,50,467,,
>214:08-07-2020:0,214,1594162800,0,50,469,,
>215:20-11-2020:0,215,1605830400,0,50,502,,
>216:04-01-2021:0,216,1609718400,0,50,406,,
>217:02-06-2021:0,217,1622588400,0,50,547,,
>218:26-05-2021:0,218,1621983600,0,50,423,,
>219:15-09-2020:0,219,1600124400,0,50,384,,
>220:30-05-2021:0,220,1622329200,0,50,446,,
>221:06-02-2021:0,221,1612569600,0,50,469,,
>222:26-01-2021:0,222,1611619200,0,50,460,,
>223:19-09-2020:0,223,1600470000,0,50,463,,
>224:01-07-2021:0,224,1625094000,0,50,504,,
>225:27-12-2020:0,225,1609027200,0,50,527,,
>226:29-07-2020:0,226,1595977200,0,50,475,,
>227:24-04-2021:0,227,1619218800,0,50,523,,
>228:28-01-2021:0,228,1611792000,0,50,538,,
>229:01-04-2021:0,229,1617231600,0,50,469,,
>230:24-09-2020:0,230,1600902000,0,50,447,,
>231:06-10-2020:0,231,1601938800,0,50,448,,
>232:04-12-2020:0,232,1607040000,0,50,496,,
>233:26-10-2020:0,233,1603670400,0,50,423,,
>234:01-06-2020:0,234,1590966000,0,50,447,,
>235:23-11-2020:0,235,1606089600,0,50,519,,
>236:05-01-2021:0,236,1609804800,0,50,572,,
>237:24-07-2020:0,237,1595545200,0,50,535,,
>238:05-01-2021:0,238,1609804800,0,50,459,,
>239:22-03-2020:0,239,1584835200,0,50,495,,
>240:02-04-2020:0,240,1585782000,0,50,546,,
>241:26-08-2020:0,241,1598396400,0,50,463,,
>242:24-02-2021:0,242,1614124800,0,50,468,,
>243:31-10-2020:0,243,1604102400,0,50,510,,
>244:12-03-2021:0,244,1615507200,0,50,416,,
>245:30-03-2020:0,245,1585522800,0,50,467,,
>246:19-09-2020:0,246,1600470000,0,50,469,,
>247:28-04-2021:0,247,1619564400,0,50,480,,
>248:27-02-2021:0,248,1614384000,0,50,433,,
>249:22-10-2020:0,249,1603321200,0,50,432,,
>250:26-08-2020:0,250,1598396400,0,50,496,,
>251:14-06-2021:0,251,1623625200,0,50,521,,
>252:19-10-2020:0,252,1603062000,0,50,472,,
>253:28-04-2021:0,253,1619564400,0,50,541,,
>254:14-07-2020:0,254,1594681200,0,50,509,,
>255:15-09-2020:0,255,1600124400,0,50,548,,
>256:25-05-2021:0,256,1621897200,0,50,533,,
>257:21-06-2020:0,257,1592694000,0,50,460,,
>258:13-11-2020:0,258,1605225600,0,50,555,,
>259:27-09-2020:0,259,1601161200,0,50,459,,
>260:15-02-2021:0,260,1613347200,0,50,458,,
>261:31-03-2021:0,261,1617145200,0,50,477,,
>262:26-10-2020:0,262,1603670400,0,50,521,,
>263:08-10-2020:0,263,1602111600,0,50,458,,
>264:28-01-2021:0,264,1611792000,0,50,519,,
>265:29-04-2021:0,265,1619650800,0,50,458,,
>266:27-08-2020:0,266,1598482800,0,50,529,,
>267:02-04-2021:0,267,1617318000,0,50,516,,
>268:12-12-2020:0,268,1607731200,0,50,499,,
>269:20-02-2021:0,269,1613779200,0,50,513,,
>270:20-01-2021:0,270,1611100800,0,50,482,,
>271:15-02-2021:0,271,1613347200,0,50,441,,
>272:31-01-2021:0,272,1612051200,0,50,521,,
>273:29-06-2020:0,273,1593385200,0,50,494,,
>274:22-06-2021:0,274,1624316400,0,50,436,,
>275:07-11-2020:0,275,1604707200,0,50,488,,
>276:21-05-2021:0,276,1621551600,0,50,509,,
>277:29-11-2020:0,277,1606608000,0,50,433,,
>278:26-05-2021:0,278,1621983600,0,50,323,,
>279:16-09-2020:0,279,1600210800,0,50,482,,
>280:20-01-2021:0,280,1611100800,0,50,481,,
>281:16-04-2021:0,281,1618527600,0,50,508,,
>282:12-03-2020:0,282,1583971200,0,50,495,,
>283:30-06-2021:0,283,1625007600,0,50,476,,
>284:17-02-2021:0,284,1613520000,0,50,522,,
>285:27-12-2020:0,285,1609027200,0,50,469,,
>286:09-02-2021:0,286,1612828800,0,50,504,,
>287:05-08-2020:0,287,1596582000,0,50,478,,
>288:28-03-2021:0,288,1616889600,0,50,455,,
>289:01-06-2021:0,289,1622502000,0,50,495,,
>290:27-11-2020:0,290,1606435200,0,50,495,,
>291:25-08-2020:0,291,1598310000,0,50,496,,
>292:22-03-2021:0,292,1616371200,0,50,516,,
>293:17-04-2021:0,293,1618614000,0,50,486,,
>294:02-02-2021:0,294,1612224000,0,50,498,,
>295:24-06-2020:0,295,1592953200,0,50,502,,
>296:01-05-2021:0,296,1619823600,0,50,508,,
>297:03-09-2020:0,297,1599087600,0,50,445,,
>298:23-08-2020:0,298,1598137200,0,50,525,,
>299:04-09-2020:0,299,1599174000,0,50,455,,
>300:28-04-2021:0,300,1619564400,0,50,501,,
>301:08-04-2021:0,301,1617836400,0,50,486,,
>302:28-04-2021:0,302,1619564400,0,50,509,,
>303:20-02-2021:0,303,1613779200,0,50,477,,
>304:13-03-2021:0,304,1615593600,0,50,497,,
>305:29-02-2020:0,305,1582934400,0,50,527,,
>306:11-10-2020:0,306,1602370800,0,50,523,,
>307:03-04-2020:0,307,1585868400,0,50,531,,
>308:20-03-2021:0,308,1616198400,0,50,384,,
>309:03-08-2020:0,309,1596409200,0,50,495,,
>310:16-05-2021:0,310,1621119600,0,50,514,,
>311:09-05-2021:0,311,1620514800,0,50,473,,
>312:02-05-2021:0,312,1619910000,0,50,485,,
>313:30-05-2021:0,313,1622329200,0,50,430,,
>314:25-05-2020:0,314,1590361200,0,50,487,,
>315:23-04-2021:0,315,1619132400,0,50,511,,
>316:15-05-2021:0,316,1621033200,0,50,456,,
>317:28-01-2021:0,317,1611792000,0,50,458,,
>318:04-02-2021:0,318,1612396800,0,50,454,,
>319:20-01-2021:0,319,1611100800,0,50,540,,
>320:16-11-2020:0,320,1605484800,0,50,415,,
>321:17-02-2021:0,321,1613520000,0,50,540,,
>322:03-04-2021:0,322,1617404400,0,50,445,,
>323:05-07-2020:0,323,1593903600,0,50,465,,
>324:13-08-2020:0,324,1597273200,0,50,456,,
>325:09-05-2021:0,325,1620514800,0,50,458,,
>326:22-03-2021:0,326,1616371200,0,50,523,,
>327:15-02-2021:0,327,1613347200,0,50,501,,
>328:08-04-2021:0,328,1617836400,0,50,464,,
>329:27-09-2020:0,329,1601161200,0,50,463,,
>330:15-12-2020:0,330,1607990400,0,50,475,,
>331:03-04-2021:0,331,1617404400,0,50,477,,
>332:16-02-2021:0,332,1613433600,0,50,491,,
>333:08-05-2021:0,333,1620428400,0,50,517,,
>334:20-05-2021:0,334,1621465200,0,50,487,,
>335:01-02-2021:0,335,1612137600,0,50,459,,
>336:27-03-2021:0,336,1616803200,0,50,447,,
>337:05-05-2020:0,337,1588633200,0,50,489,,
>338:03-02-2021:0,338,1612310400,0,50,491,,
>339:26-02-2021:0,339,1614297600,0,50,506,,
>340:16-05-2021:0,340,1621119600,0,50,443,,
>341:02-10-2020:0,341,1601593200,0,50,492,,
>342:11-04-2021:0,342,1618095600,0,50,589,,
>343:09-10-2020:0,343,1602198000,0,50,482,,
>344:02-05-2021:0,344,1619910000,0,50,509,,
>345:09-10-2020:0,345,1602198000,0,50,496,,
>346:01-06-2021:0,346,1622502000,0,50,468,,
>347:22-09-2020:0,347,1600729200,0,50,506,,
>348:03-05-2021:0,348,1619996400,0,50,538,,
>349:06-07-2020:0,349,1593990000,0,50,521,,
>350:25-07-2020:0,350,1595631600,0,50,495,,
>351:26-01-2021:0,351,1611619200,0,50,540,,
>352:08-06-2021:0,352,1623106800,0,50,472,,
>353:02-03-2021:0,353,1614643200,0,50,449,,
>354:06-06-2021:0,354,1622934000,0,50,424,,
>355:20-06-2020:0,355,1592607600,0,50,544,,
>356:14-01-2021:0,356,1610582400,0,50,461,,
>357:26-03-2021:0,357,1616716800,0,50,471,,
>358:16-07-2020:0,358,1594854000,0,50,532,,
>359:26-01-2021:0,359,1611619200,0,50,533,,
>360:01-02-2021:0,360,1612137600,0,50,551,,
>361:13-02-2020:0,361,1581552000,0,50,418,,
>362:01-03-2021:0,362,1614556800,0,50,451,,
>363:14-04-2021:0,363,1618354800,0,50,518,,
>364:24-10-2020:0,364,1603494000,0,50,505,,
>365:28-06-2020:0,365,1593298800,0,50,524,,
>366:29-06-2021:0,366,1624921200,0,50,494,,
>367:17-04-2021:0,367,1618614000,0,50,452,,
>368:21-02-2021:0,368,1613865600,0,50,478,,
>369:10-03-2021:0,369,1615334400,0,50,533,,
>370:31-10-2020:0,370,1604102400,0,50,510,,
>371:06-06-2020:0,371,1591398000,0,50,459,,
>372:10-06-2020:0,372,1591743600,0,50,523,,
>373:13-04-2021:0,373,1618268400,0,50,465,,
>374:13-10-2020:0,374,1602543600,0,50,390,,
>375:17-02-2021:0,375,1613520000,0,50,523,,
>376:24-09-2020:0,376,1600902000,0,50,563,,
>377:06-08-2020:0,377,1596668400,0,50,473,,
>378:25-03-2021:0,378,1616630400,0,50,400,,
>379:30-05-2021:0,379,1622329200,0,50,491,,
>380:09-11-2020:0,380,1604880000,0,50,505,,
>381:28-05-2021:0,381,1622156400,0,50,525,,
>382:21-12-2020:0,382,1608508800,0,50,501,,
>383:03-04-2021:0,383,1617404400,0,50,467,,
>384:27-01-2021:0,384,1611705600,0,50,558,,
>385:27-05-2021:0,385,1622070000,0,50,583,,
>386:13-03-2021:0,386,1615593600,0,50,440,,
>387:22-04-2020:0,387,1587510000,0,50,436,,
>388:01-02-2021:0,388,1612137600,0,50,484,,
>389:18-04-2020:0,389,1587164400,0,50,541,,
>390:27-07-2020:0,390,1595804400,0,50,517,,
>391:05-09-2020:0,391,1599260400,0,50,493,,
>392:10-04-2021:0,392,1618009200,0,50,562,,
>393:21-03-2021:0,393,1616284800,0,50,527,,
>394:13-12-2020:0,394,1607817600,0,50,528,,
>395:20-06-2021:0,395,1624143600,0,50,485,,
>396:13-04-2021:0,396,1618268400,0,50,517,,
>397:01-10-2020:0,397,1601506800,0,50,430,,
>398:13-02-2021:0,398,1613174400,0,50,519,,
>399:12-01-2021:0,399,1610409600,0,50,458,,
>400:19-12-2020:0,400,1608336000,0,50,487,,
>401:16-11-2020:0,401,1605484800,0,50,516,,
>402:10-11-2020:0,402,1604966400,0,50,507,,
>403:01-03-2021:0,403,1614556800,0,50,394,,
>404:27-10-2020:0,404,1603756800,0,50,510,,
>405:05-07-2020:0,405,1593903600,0,50,523,,
>406:05-11-2020:0,406,1604534400,0,50,485,,
>407:04-01-2021:0,407,1609718400,0,50,552,,
>408:18-05-2021:0,408,1621292400,0,50,470,,
>409:13-11-2020:0,409,1605225600,0,50,508,,
>410:15-03-2021:0,410,1615766400,0,50,442,,
>411:27-04-2021:0,411,1619478000,0,50,474,,
>412:02-01-2021:0,412,1609545600,0,50,544,,
>413:06-12-2020:0,413,1607212800,0,50,506,,
>414:11-03-2021:0,414,1615420800,0,50,506,,
>415:30-03-2020:0,415,1585522800,0,50,477,,
>416:05-06-2020:0,416,1591311600,0,50,589,,
>417:10-07-2020:0,417,1594335600,0,50,576,,
>418:14-10-2020:0,418,1602630000,0,50,504,,
>419:23-03-2021:0,419,1616457600,0,50,469,,
>420:21-11-2020:0,420,1605916800,0,50,496,,
>421:18-02-2021:0,421,1613606400,0,50,480,,
>422:12-06-2021:0,422,1623452400,0,50,482,,
>423:19-01-2021:0,423,1611014400,0,50,551,,
>424:30-04-2021:0,424,1619737200,0,50,455,,
>425:12-07-2020:0,425,1594508400,0,50,486,,
>426:03-06-2020:0,426,1591138800,0,50,527,,
>427:22-06-2021:0,427,1624316400,0,50,442,,
>428:22-07-2020:0,428,1595372400,0,50,487,,
>429:16-06-2020:0,429,1592262000,0,50,410,,
>430:23-01-2021:0,430,1611360000,0,50,540,,
>431:16-05-2021:0,431,1621119600,0,50,435,,
>432:11-07-2020:0,432,1594422000,0,50,498,,
>433:05-11-2020:0,433,1604534400,0,50,494,,
>434:25-08-2020:0,434,1598310000,0,50,524,,
>435:16-02-2021:0,435,1613433600,0,50,460,,
>436:17-09-2020:0,436,1600297200,0,50,518,,
>437:26-10-2020:0,437,1603670400,0,50,565,,
>438:12-08-2020:0,438,1597186800,0,50,468,,
>439:23-04-2020:0,439,1587596400,0,50,531,,
>440:17-02-2020:0,440,1581897600,0,50,469,,
>441:08-10-2020:0,441,1602111600,0,50,593,,
>442:30-09-2020:0,442,1601420400,0,50,535,,
>443:05-08-2020:0,443,1596582000,0,50,493,,
>444:11-07-2020:0,444,1594422000,0,50,361,,
>445:20-05-2021:0,445,1621465200,0,50,407,,
>446:08-06-2021:0,446,1623106800,0,50,464,,
>447:26-06-2021:0,447,1624662000,0,50,458,,
>448:27-11-2020:0,448,1606435200,0,50,430,,
>449:22-02-2021:0,449,1613952000,0,50,515,,
>450:14-10-2020:0,450,1602630000,0,50,552,,
>451:26-05-2020:0,451,1590447600,0,50,524,,
>452:16-06-2020:0,452,1592262000,0,50,496,,
>453:28-06-2021:0,453,1624834800,0,50,480,,
>454:02-01-2021:0,454,1609545600,0,50,538,,
>455:17-04-2021:0,455,1618614000,0,50,543,,
>456:04-09-2020:0,456,1599174000,0,50,357,,
>457:21-12-2020:0,457,1608508800,0,50,520,,
>458:02-10-2020:0,458,1601593200,0,50,521,,
>459:20-08-2020:0,459,1597878000,0,50,513,,
>460:01-06-2020:0,460,1590966000,0,50,465,,
>461:13-08-2020:0,461,1597273200,0,50,421,,
>462:08-05-2021:0,462,1620428400,0,50,522,,
>463:11-12-2020:0,463,1607644800,0,50,495,,
>464:28-06-2021:0,464,1624834800,0,50,483,,
>465:07-06-2021:0,465,1623020400,0,50,455,,
>466:25-06-2020:0,466,1593039600,0,50,535,,
>467:11-12-2020:0,467,1607644800,0,50,447,,
>468:05-09-2020:0,468,1599260400,0,50,487,,
>469:24-09-2020:0,469,1600902000,0,50,508,,
>470:04-08-2020:0,470,1596495600,0,50,462,,
>471:13-01-2021:0,471,1610496000,0,50,477,,
>472:02-11-2020:0,472,1604275200,0,50,508,,
>473:25-06-2021:0,473,1624575600,0,50,422,,
>474:19-12-2020:0,474,1608336000,0,50,435,,
>475:16-06-2020:0,475,1592262000,0,50,466,,
>476:22-06-2021:0,476,1624316400,0,50,478,,
>477:07-07-2020:0,477,1594076400,0,50,497,,
>478:11-04-2021:0,478,1618095600,0,50,495,,
>479:29-11-2020:0,479,1606608000,0,50,549,,
>480:02-11-2020:0,480,1604275200,0,50,470,,
>481:18-02-2021:0,481,1613606400,0,50,551,,
>482:23-05-2020:0,482,1590188400,0,50,521,,
>483:15-03-2021:0,483,1615766400,0,50,455,,
>484:02-06-2020:0,484,1591052400,0,50,505,,
>485:26-02-2021:0,485,1614297600,0,50,436,,
>486:15-10-2020:0,486,1602716400,0,50,529,,
>487:18-11-2020:0,487,1605657600,0,50,512,,
>488:01-07-2021:0,488,1625094000,0,50,502,,
>489:12-03-2021:0,489,1615507200,0,50,491,,
>490:26-05-2021:0,490,1621983600,0,50,516,,
>491:25-11-2020:0,491,1606262400,0,50,523,,
>492:28-01-2021:0,492,1611792000,0,50,539,,
>493:15-05-2020:0,493,1589497200,0,50,470,,
>494:23-01-2021:0,494,1611360000,0,50,491,,
>495:09-09-2020:0,495,1599606000,0,50,487,,
>496:18-11-2020:0,496,1605657600,0,50,472,,
>497:10-06-2020:0,497,1591743600,0,50,503,,
>498:05-02-2021:0,498,1612483200,0,50,535,,
>499:09-09-2020:0,499,1599606000,0,50,481,,
>500:21-08-2020:0,500,1597964400,0,50,532,,
>501:24-01-2021:0,501,1611446400,0,50,426,,
>502:27-04-2021:0,502,1619478000,0,50,406,,
>503:29-09-2020:0,503,1601334000,0,50,321,,
>504:24-07-2020:0,504,1595545200,0,50,542,,
>505:24-03-2021:0,505,1616544000,0,50,474,,
>506:11-01-2021:0,506,1610323200,0,50,520,,
>507:29-04-2020:0,507,1588114800,0,50,505,,
>508:19-01-2021:0,508,1611014400,0,50,468,,
>509:26-04-2021:0,509,1619391600,0,50,585,,
>510:08-09-2020:0,510,1599519600,0,50,509,,
>511:06-07-2020:0,511,1593990000,0,50,538,,
>512:27-04-2021:0,512,1619478000,0,50,430,,
>513:14-10-2020:0,513,1602630000,0,50,410,,
>514:24-02-2021:0,514,1614124800,0,50,528,,
